Fecha,Gasolina regular,Gasolina superior,Diesel
2016-03-01,486255.94000000006,575720.92,1107296.65
2016-04-01,467472.2,545605.47,1149175.1921428572
2016-05-01,468710.37999999995,551000.79,1019984.4000000001
2016-06-01,450758.18000000005,537583.25,888538.1
2016-07-01,465270.48000000004,562778.84,883716.04
2016-08-01,485995.83,585748.5,866270.02
2016-09-01,456946.75,548491.65,877800.5599999999
2016-10-01,476277.64,573754.73,916410.7
2016-11-01,463726.20999999996,547323.5299999999,1019671.97
2016-12-01,524242.31000000006,615251.51,1113827.0999999999
2017-01-01,477291.93,546212.16,1079339.2999999998
2017-02-01,453665.32,526888.94,1052536.01
2017-03-01,523943.6,592249.34,1216423.42
2017-04-01,500063.03,530345.96,1032813.29
2017-05-01,516884.37,588861.62,1034806.24
2017-06-01,478491.95,549378.05,897511.89
2017-07-01,521730.41,607702.7,938887.64
2017-08-01,514086.57,604650.34,950188.14
2017-09-01,492618.55,560892.67,894363.58
2017-10-01,512762.32,583658.83,935986.1699999999
2017-11-01,510631.29,563345.61,1038598.26
2017-12-01,574097.7,635423.76,1117711.4500000002
2018-01-01,528763.3,581802.98,1121392.5299999998
2018-02-01,502041.67,545210.0,1086758.89
2018-03-01,571052.13,618402.18,1210029.5
2018-04-01,526979.67,565665.72,1123382.75
2018-05-01,544395.17,570129.66,1017487.01
2018-06-01,518911.44,554431.5,937881.91
2018-07-01,541811.12,589775.97,958397.37
2018-08-01,570224.11,593659.63,1000630.5800000001
2018-09-01,531285.29,551547.83,889384.9400000001
2018-10-01,573751.47,579474.43,977682.12
2018-11-01,563417.57,573687.35,1069786.1199999999
2018-12-01,632670.17,654281.25,1114499.78
2019-01-01,596682.74,601717.9,1161567.1400000001
2019-02-01,559109.22,565421.02,1110621.82
2019-03-01,645266.77,610720.58,1236968.6500000001
2019-04-01,657570.18,598932.3,1167721.49
2019-05-01,666748.63,611615.32,1144474.7999999998
2019-06-01,641136.56,595748.38,1020385.82
2019-07-01,650150.78,615538.33,1039576.88
2019-08-01,668783.39,632420.7,1079234.25
2019-09-01,616079.3,587866.84,981793.6299999999
2019-10-01,669008.77,643045.33,1053104.8900000001
2019-11-01,643070.35,620568.21,1131703.56
2019-12-01,706020.77,682475.14,1185193.48
2020-01-01,639977.66,622328.27,1195985.79
2020-02-01,652062.07,633100.05,1242863.07
2020-03-01,573549.42,509753.28,1110969.02
2020-04-01,458465.21,391768.4,872802.51
2020-05-01,478743.59,407477.83,832000.7100000001
2020-06-01,516903.12,388963.67,789476.67
2020-07-01,567089.03,462383.95,875026.01
2020-08-01,647410.51,574379.33,895465.17
2020-09-01,661633.46,610445.1,968551.35
2020-10-01,680401.33,648582.82,1080494.05
2020-11-01,652595.93,639856.62,1083558.89
2020-12-01,768161.74,760695.45,1288980.99
2021-01-01,685942.97,655503.47,1232701.3399999999
2021-02-01,669312.89,621730.81,1283553.76
2021-03-01,773453.52,692228.61,1427880.48
2021-04-01,688389.03,610290.32,1278355.9
2021-05-01,707336.38,643104.75,1201009.69
2021-06-01,692598.71,637338.03,1138243.2100000002
2021-07-01,740193.13,665475.44,1208647.99
2021-08-01,668221.53,636801.3,1115133.69
2021-09-01,670418.8,605278.4,1113263.25
2021-10-01,718676.32,675818.23,1177898.15
2021-11-01,708246.27,641916.39,1234541.5
2021-12-01,821882.15,768107.97,1394414.56
2022-01-01,683031.84,621512.78,1294765.04
2022-02-01,661521.58,592106.14,1276110.4600000002
2022-03-01,701819.65,598038.47,1345694.11
2022-04-01,812059.06,569199.43,1297298.27
2022-05-01,791824.98,483991.63,1118496.96
2022-06-01,781009.47,507260.42,1112134.48
2022-07-01,788841.46,554496.9,1135161.38
2022-08-01,784468.32,581844.42,1117277.56
2022-09-01,760396.15,570632.2,1213546.41
2022-10-01,768784.36,573943.48,988133.51
2022-11-01,771173.12,572163.23,1176079.78
2022-12-01,865851.44,635953.46,1250222.35
2023-01-01,804524.73,599501.29,1295323.67
2023-02-01,737345.64,544144.0,1235283.5799999998
2023-03-01,875010.34,656941.64,1474471.14
2023-04-01,798128.36,586642.2,1258452.76
2023-05-01,866826.79,646221.2,1358755.57
2023-06-01,782745.17,616290.21,1170052.66
2023-07-01,825219.05,642098.16,1188776.9200000002
2023-08-01,851754.02,632333.4,1234074.3699999999
2023-09-01,799852.73,597670.26,1113955.56
2023-10-01,728741.16,531542.58,1007881.39
2023-11-01,807947.98,632180.03,1259373.2
2023-12-01,880233.12,691389.62,1345275.95
2024-01-01,830708.13,658083.66,1371766.15
2024-02-01,818740.16,654059.6,1352602.93
2024-03-01,870771.7,671997.05,1405703.42
2024-04-01,847353.15,633520.57,1442103.5999999999
2024-05-01,894533.14,692427.94,1407675.22
2024-06-01,794408.31,629424.37,1172210.35
2024-07-01,835984.4,681795.6,1184461.11
2024-08-01,869673.44,706962.21,1234023.92
2024-09-01,824829.02,682846.53,1175714.72
2024-10-01,938086.57,786598.12,1414669.79
2024-11-01,825168.28,696506.19,1332220.07
2024-12-01,913940.78,773715.97,1499266.1
