Fecha,Gasolina regular,Gasolina superior,Diesel
2022-09-01,869579.64,551589.72,1082501.7600000002
2022-10-01,718920.2,529832.42,991787.67
2022-11-01,754135.8599999999,595870.42,1146702.46
2022-12-01,841323.98,602458.3,1091995.7600000002
2023-01-01,909391.13,578792.14,1487174.05
2023-02-01,725101.2,685183.06,1267967.39
2023-03-01,803262.67,633849.05,1322505.1199999999
2023-04-01,922032.39,572201.36,1438686.71
2023-05-01,947633.29,668478.73,1443147.4400000002
2023-06-01,831466.44,639685.8,1278824.18
2023-07-01,830098.86,562498.09,1113086.84
2023-08-01,801621.75,669240.21,1080439.66
2023-09-01,762592.3,586145.3,1267769.02
2023-10-01,928439.18,652149.45,839713.1900000001
2023-11-01,839290.02,682060.84,1368698.96
2023-12-01,763754.27,571924.92,1532588.1500000001
2024-01-01,914133.32,712333.33,1415808.13
2024-02-01,740662.25,650360.11,1241501.08
2024-03-01,838270.93,620077.74,1482045.48
2024-04-01,886132.77,687017.96,1329841.4700000002
2024-05-01,939656.18,696970.3,1470870.09
2024-06-01,753130.22,597897.96,1349838.28
2024-07-01,902574.53,678626.35,1245600.9
2024-08-01,827107.06,679009.42,1230871.63
2024-09-01,1141365.94,822168.56,1170543.18
2024-10-01,790347.12,782139.65,1433819.35
2024-11-01,832255.74,690640.92,1308990.6400000001
2024-12-01,879947.67,754391.09,1504857.42
